gen4 state,gen4 power,gen2 state,gen2 power,gen3 state,gen3 power,gen5 state,gen5 power,gen1 state,gen1 power
0,0,0,0,0,0,0,0,0,0
0,2842170943040401e-29,0,0,0,0,0,0,0,0
1,0.2,1,0.17,1,0.52,1,0.6000000000000001,1,0.04000000000000001
1,0.2,1,0.17,1,0.52,1,0.6000000000000001,1,0.04000000000000001
1,0.2,1,0.17,1,0.52,1,0.6000000000000001,1,0.04000000000000001
1,0.2,1,0.17,1,0.52,1,0.6000000000000001,1,0.04000000000000001
1,0.2,1,0.17,1,0.52,1,0.6000000000000001,1,0.04000000000000001
1,0.2,1,0.17,1,0.52,1,0.6000000000000001,1,0.04000000000000001
1,0.2,1,0.17,1,0.52,1,0.6000000000000001,1,0.04000000000000001
1,0.2,1,0.17,1,0.52,1,0.6000000000000001,1,0.04000000000000001
1,0.2,1,0.17,1,0.52,1,0.6000000000000001,1,0.04000000000000001
1,1.2,1,0.28310935515273816,1,0.52,1,0.6000000000000001,1,0.04000000000000001
1,1.2,1,0.17000000000000004,1,3.12,1,0.6000000000000001,1,0.04000000000000001
1,0.2,1,1.02,1,0.52,1,3.6,1,0.04000000000000001
1,1.2,1,0.17,1,2.600000000000001,1,0.6000000000000001,1,0.04000000000000001
1,0.2,1,0.17,1,5.200000000000001,1,2.849033849611594,1,0.04000000000000001
1,0.2,1,1.02,1,2.600000000000001,1,5.849033849611594,1,0.04000000000000001
1,1.0000000000000009,1,0.17,1,1.4854182862431031,1,6.0000000000000036,1,0.04000000000000001
1,2.000000000000001,1,1.02,1,3.8250426097485986,1,3.0000000000000036,1,0.04000000000000001
1,2.000000000000001,1,0.17,1,2.8152647293195043,1,4.934760166349077,1,0.04000000000000001
1,2.000000000000001,1,1.02,1,5.200000000000002,1,1.934760166349077,1,0.24000000000000002
1,1.0000000000000009,1,0.17000000000000004,1,5.200000000000001,1,4.934760166349077,1,0.04539650073195123
1,2.000000000000001,1,0.17,1,3.0671974846732732,1,6.0000000000000036,1,0.04000000000000001
1,1.20000000000001,1,1.02,1,3.12,1,3.6,1,0.24000000000000002
1,0.19999999999998153,1,0.17,1,0.52,1,0.6000000000000001,1,0.04000000000000001
1,0.2,1,0.17,1,0.52,1,0.6000000000000001,1,0.04000000000000001
1,0.2,1,0.17,1,0.52,1,0.6000000000000001,1,0.04000000000000001
1,0.2,1,0.17,1,0.52,1,0.6000000000000001,1,0.04000000000000001
1,0.2,1,0.17,1,0.52,1,0.6000000000000001,1,0.04000000000000001
1,0.2,1,0.17,1,0.52,1,0.6000000000000001,1,0.04000000000000001
1,0.2,1,0.17,1,0.52,1,0.6000000000000001,1,0.04000000000000001
1,0.2,1,0.17,1,0.52,1,0.6000000000000001,1,0.04000000000000001
1,0.2,1,0.17,1,0.52,1,0.6000000000000001,1,0.04000000000000001
1,0.2,1,0.17,1,0.612460144089281,1,0.6000000000000001,1,0.04000000000000001
1,0.2,1,0.17,1,0.52,1,0.6000000000000001,1,0.04000000000000001
1,1.2,1,0.17,1,0.52,1,1.1416388580512542,1,0.24000000000000002
1,0.2,1,0.17,1,0.52,1,2.4432858814780327,1,0.04000000000000001
1,0.2,1,0.17,1,0.52,1,2.5937552987223635,1,0.04000000000000001
1,0.2,1,1.02,1,1.8538471482285594,1,0.6000000000000001,1,0.04000000000000001
1,0.2,1,1.02,1,0.52,1,1.7074624886229597,1,0.04000000000000001
1,0.2,1,0.17,1,0.52,1,2.538091056158318,1,0.04000000000000001
1,0.2,1,0.17,1,0.52,1,2.3695744033348336,1,0.04000000000000001
1,1.2,1,0.17,1,0.52,1,1.485330031955726,1,0.04000000000000001
1,0.2,1,0.17,1,2.4966104152687376,1,0.6000000000000001,1,0.24000000000000002
1,0.2,1,0.17,1,0.52,1,2.8522596148061656,1,0.04000000000000001
1,0.2,1,1.02,1,1.5185851607878436,1,0.6000000000000001,1,0.24000000000000002
1,0.2,1,1.02,1,0.52,1,1.9034558463344082,1,0.04000000000000001
1,0.2,1,0.17,1,1.5056961673889748,1,0.6000000000000001,1,0.24000000000000002
1,1.2,1,0.17,1,0.52,1,2.152287993770713,1,0.04000000000000001
1,0.738046042237868,1,0.17,1,3.12,1,0.6000000000000001,1,0.04000000000000001
1,0.2,1,1.02,1,1.9588571727386026,1,3.339382486274707,1,0.04000000000000001
1,1.2,1,0.17,1,4.558857172738603,1,0.6000000000000001,1,0.24000000000000002
1,2.000000000000001,1,1.02,1,4.209731678468939,1,0.6000000000000001,1,0.40000000000000024
1,1.4576493479389825,1,1.7000000000000013,1,1.6097316784689393,1,3.0000000000000018,1,0.40000000000000024
1,0.4576493479389825,1,0.8500000000000013,1,1.102038433606805,1,6.000000000000002,1,0.20000000000000023
1,1.4576493479389825,1,1.02,1,2.600000000000002,1,4.064408676979847,1,0.24000000000000002
1,1.7260652094117053,1,0.17,1,5.200000000000002,1,2.1484148811713935,1,0.04000000000000001
1,0.7260652094117053,1,1.02,1,5.200000000000002,1,2.643909063510885,1,0.24000000000000002
1,1.7260652094117053,1,1.7000000000000004,1,5.200000000000002,1,0.6000000000000001,1,0.04000000000000001
1,0.7260652094117053,1,1.02,1,5.200000000000002,1,2.6450617252845006,1,0.04000000000000001
1,1.7260652094117053,1,0.17,1,5.200000000000002,1,2.0046926973143213,1,0.24000000000000002
1,0.7260652094117053,1,1.02,1,4.789272967694186,1,3.0000000000000018,1,0.04000000000000001
1,0.6931960785978255,1,0.3892140851541419,1,2.1892729676941856,1,6.000000000000002,1,0.24000000000000002
1,1.6931960785978255,1,0.17,1,1.4710685299611983,1,6.0000000000000036,1,0.04000000000000001
1,0.6931960785978255,1,0.17,1,4.071068529961199,1,4.312707815559188,1,0.04000000000000001
1,1.6931960785978255,1,0.17,1,4.823730555736519,1,1.4329942823354163,1,0.24000000000000002
1,0.6931960785978256,1,0.8500000000000009,1,2.600000000000002,1,4.432994282335416,1,0.40000000000000013
1,0.2,1,1.7000000000000008,1,5.200000000000002,1,1.4329942823354163,1,0.24000000000000002
1,0.2,1,1.7000000000000004,1,2.600000000000002,1,4.432994282335416,1,0.04000000000000001
1,0.2,1,0.8500000000000004,1,5.200000000000002,1,2.5411943867501554,1,0.24000000000000002
1,0.23468946405966817,1,1.7000000000000004,1,5.200000000000002,1,1.2014269236655535,1,0.40000000000000013
1,0.2,1,1.02,1,2.600000000000002,1,4.2014269236655535,1,0.20000000000000012
1,0.2,1,0.17,1,1.7742564847994606,1,6.000000000000002,1,0.04000000000000001
1,0.2,1,0.36030144171831335,1,1.5862076644848175,1,6.000000000000002,1,0.04000000000000001
1,1.2,1,1.2103014417183133,1,2.4008823327521838,1,3.0000000000000018,1,0.24000000000000002
1,2.0000000000000004,1,0.36030144171831324,1,5.000882332752184,1,0.8152399096748124,1,0.04000000000000001
1,1.0000000000000004,1,0.17000000000000004,1,2.4008823327521838,1,3.8152399096748124,1,0.24000000000000002
1,2.0000000000000004,1,1.02,1,3.8248900729531514,1,0.8152399096748124,1,0.04000000000000001
1,1.2,1,0.17,1,2.2723857063442363,1,3.8152399096748124,1,0.04000000000000001
1,0.2,1,1.02,1,0.52,1,6.000000000000002,1,0.24000000000000002
1,0.2,1,0.17,1,0.52,1,6.000000000000002,1,0.2965062989202269
1,1.0000000000000009,1,0.17,1,3.12,1,3.2306635746321177,1,0.09650629892022689
1,2.000000000000001,1,1.02,1,0.52,1,2.9964375717975176,1,0.24000000000000002
1,1.0000000000000009,1,0.17,1,0.52,1,4.504738916010742,1,0.04000000000000001
1,0.2,1,0.17,1,0.52,1,5.8759097562550275,1,0.24000000000000002
1,0.2,1,0.17,1,0.52,1,5.104718473884122,1,0.20000000000000023
1,1.2,1,1.02,1,0.52,1,3.3889717813292206,1,0.40000000000000024
1,0.2,1,0.17,1,2.6883471794057825,1,3.6,1,0.20000000000000023
1,0.2,1,0.46664434774014135,1,5.200000000000001,1,0.6000000000000001,1,0.04000000000000001
1,1.2,1,0.17,1,4.287975700719987,1,0.6000000000000001,1,0.04000000000000001
1,0.2,1,0.17,1,5.06328969864714,1,0.6000000000000001,1,0.24000000000000002
1,1.2,1,1.02,1,2.46328969864714,1,1.678639192788075,1,0.20000000000000023
1,2.0000000000000004,1,0.17,1,0.52,1,3.1397243137979323,1,0.40000000000000024
1,1.2,1,1.02,1,3.12,1,0.6428717648999573,1,0.20000000000000023
1,0.2,1,0.17000000000000004,1,5.200000000000001,1,0.6000000000000001,1,0.05355928611011862
1,0.2,1,1.02,1,5.200000000000001,1,0.6000000000000001,1,0.04000000000000001
