gen4 state,gen4 power,gen2 state,gen2 power,gen3 state,gen3 power,gen5 state,gen5 power,gen1 state,gen1 power
0,0,0,0,0,0,0,0,0,0
0,2842170943040401e-29,0,0,0,0,0,0,0,0
1,0.2,1,0.17,1,0.52,1,0.6000000000000001,1,0.04000000000000001
1,0.2,1,0.17,1,0.52,1,0.6000000000000001,1,0.04000000000000001
1,0.2,1,0.17,1,0.52,1,0.6000000000000001,1,0.04000000000000001
1,0.2,1,0.17,1,0.52,1,0.6000000000000001,1,0.04000000000000001
1,0.2,1,0.17,1,0.52,1,0.6000000000000001,1,0.04000000000000001
1,0.2,1,0.17,1,0.52,1,0.6000000000000001,1,0.04000000000000001
1,0.2,1,0.17,1,0.52,1,0.6000000000000001,1,0.04000000000000001
1,0.2,1,0.17,1,0.52,1,0.6000000000000001,1,0.04000000000000001
1,0.2,1,0.17,1,0.8917200313897788,1,0.6000000000000001,1,0.04000000000000001
1,1.2,1,0.17,1,0.52,1,0.6000000000000001,1,0.04000000000000001
1,1.2,1,0.3907886769328922,1,3.12,1,0.6000000000000001,1,0.04000000000000001
1,0.2,1,1.2407886769328922,1,0.52,1,3.6,1,0.04000000000000001
1,1.2,1,0.3907886769328922,1,3.12,1,0.6000000000000001,1,0.04000000000000001
1,0.2,1,0.17,1,4.044377533078298,1,3.6,1,0.24000000000000002
1,1.2,1,0.8170001545791832,1,1.4443775330782977,1,6.0000000000000036,1,0.04000000000000001
1,0.19999999999999996,1,0.17,1,4.044377533078298,1,5.210694490866704,1,0.04000000000000001
1,1.2,1,1.02,1,4.366226908633624,1,2.210694490866704,1,0.04000000000000001
1,2.000000000000001,1,0.17,1,5.200000000000002,1,1.3135259543094966,1,0.04000000000000001
1,2.000000000000001,1,1.02,1,5.200000000000002,1,0.6928975289740813,1,0.04000000000000001
1,1.0000000000000009,1,0.17000000000000004,1,5.089328879211693,1,3.6928975289740813,1,0.24000000000000002
1,2.000000000000001,1,0.17,1,2.4893288792116928,1,5.545003122271069,1,0.04000000000000001
1,1.1999999999999744,1,1.02,1,3.12,1,3.6,1,0.24000000000000002
1,0.19999999999998863,1,0.17,1,0.52,1,0.6000000000000001,1,0.04000000000000001
1,0.2,1,0.17,1,0.52,1,0.6000000000000001,1,0.04000000000000001
1,0.2,1,0.17,1,0.52,1,0.6000000000000001,1,0.04000000000000001
1,0.2,1,0.17,1,0.52,1,0.6000000000000001,1,0.04000000000000001
1,0.2,1,0.17,1,0.52,1,0.6000000000000001,1,0.04000000000000001
1,0.2,1,0.17,1,0.52,1,0.6000000000000001,1,0.04000000000000001
1,0.2,1,0.17,1,0.52,1,0.6000000000000001,1,0.04000000000000001
1,0.2,1,0.17,1,0.52,1,0.6000000000000001,1,0.04000000000000001
1,0.2,1,0.20212873711736917,1,0.52,1,0.6000000000000001,1,0.04000000000000001
1,0.2,1,0.17,1,0.52,1,0.6000000000000001,1,0.04000000000000001
1,0.2,1,0.17,1,0.52,1,0.6000000000000001,1,0.0711026543352507
1,1.2,1,0.17,1,0.52,1,1.4845435428037452,1,0.04000000000000001
1,0.2,1,0.17,1,0.52,1,2.426280678379903,1,0.04000000000000001
1,0.2,1,0.17,1,0.52,1,2.5729287014888054,1,0.04000000000000001
1,0.2,1,1.02,1,1.614116921329621,1,0.6000000000000001,1,0.04000000000000001
1,0.2,1,0.17,1,0.52,1,2.6565123102810975,1,0.04000000000000001
1,0.2,1,0.17,1,0.52,1,2.5557567384092645,1,0.04000000000000001
1,0.2,1,0.17,1,2.2042805507474497,1,0.6000000000000001,1,0.04000000000000001
1,1.2,1,1.0170093173245276,1,0.52,1,0.6000000000000001,1,0.24000000000000002
1,0.2,1,0.17,1,0.52,1,2.7854142153638324,1,0.04000000000000001
1,0.2,1,0.17,1,2.66428202057134,1,0.6000000000000001,1,0.04000000000000001
1,0.2,1,0.17,1,0.52,1,2.8829883957670925,1,0.04000000000000001
1,0.2,1,1.02,1,0.52,1,1.975198914176777,1,0.04000000000000001
1,0.5821455668923714,1,0.17,1,1.2227307196567399,1,0.6000000000000001,1,0.24000000000000002
1,1.5821455668923714,1,1.02,1,0.52,1,0.6000000000000001,1,0.04000000000000001
1,1.5103133534563664,1,0.17000000000000004,1,3.12,1,0.6000000000000001,1,0.04000000000000001
1,0.5103133534563664,1,1.02,1,1.3862781608586903,1,3.6,1,0.04000000000000001
1,1.5103133534563664,1,0.17,1,3.9862781608586904,1,0.6000000000000001,1,0.24000000000000002
1,2.0000000000000004,1,0.2445751765939691,1,4.279509788656721,1,0.6000000000000001,1,0.20000000000000034
1,1.0000000000000004,1,1.094575176593969,1,1.6795097886567212,1,3.6,1,0.40000000000000036
1,0.46140847763589443,1,0.244575176593969,1,4.279509788656721,1,3.0000000000000018,1,0.20000000000000034
1,1.4614084776358944,1,0.17,1,1.6795097886567212,1,6.000000000000002,1,0.04000000000000001
1,2.0000000000000004,1,0.17000000000000004,1,4.279509788656721,1,3.4762742881263367,1,0.04000000000000001
1,1.6532640812360877,1,1.02,1,5.200000000000002,1,1.1187859595611247,1,0.24000000000000002
1,2.0000000000000004,1,0.17000000000000004,1,3.5514223901993094,1,4.118785959561125,1,0.04000000000000001
1,2.000000000000001,1,1.02,1,5.200000000000002,1,1.1187859595611245,1,0.24000000000000002
1,2.000000000000001,1,0.17,1,5.200000000000002,1,1.4719839186179764,1,0.24000000000000002
1,1.0000000000000009,1,0.17,1,3.906710595773264,1,4.471983918617976,1,0.04000000000000001
1,2.000000000000001,1,0.8302134049392573,1,3.4483328721174167,1,3.0000000000000018,1,0.24000000000000002
1,2.0000000000000004,1,0.17,1,0.8483328721174165,1,6.000000000000002,1,0.04000000000000001
1,2.0000000000000004,1,0.733603132460376,1,3.4483328721174167,1,3.0000000000000053,1,0.04000000000000001
1,1.8723681742518998,1,0.17,1,0.8483328721174166,1,6.000000000000005,1,0.20000000000000012
1,0.8723681742518998,1,0.8500000000000009,1,3.4483328721174167,1,3.0000000000000053,1,0.40000000000000013
1,0.2,1,1.7000000000000008,1,5.200000000000002,1,1.407219105153363,1,0.24000000000000002
1,0.2,1,1.7000000000000008,1,2.600000000000002,1,4.407219105153363,1,0.04000000000000001
1,0.2,1,0.8500000000000009,1,5.200000000000002,1,2.572129058058631,1,0.04000000000000001
1,0.2,1,1.7000000000000008,1,5.200000000000002,1,1.674559996685371,1,0.24000000000000002
1,0.2,1,1.1290616946070924,1,2.600000000000001,1,4.674559996685371,1,0.04000000000000001
1,0.2,1,0.2790616946070923,1,5.200000000000001,1,1.674559996685371,1,0.24000000000000002
1,0.2,1,0.4545988962316976,1,2.600000000000001,1,4.674559996685371,1,0.24000000000000002
1,1.2,1,1.3045988962316977,1,0.52,1,5.02024611236368,1,0.04000000000000001
1,2.000000000000001,1,0.4545988962316976,1,3.12,1,2.6033318044252702,1,0.04000000000000001
1,1.0000000000000009,1,0.17,1,0.52,1,5.60333180442527,1,0.24000000000000002
1,0.2,1,1.02,1,0.52,1,5.800473873864134,1,0.04000000000000001
1,1.2,1,0.17,1,3.12,1,3.0000000000000018,1,0.04000000000000001
1,0.2,1,0.5145498300976485,1,0.52,1,6.000000000000002,1,0.24000000000000002
1,0.2,1,0.38713003511215377,1,0.52,1,5.67728507717779,1,0.40000000000000024
1,1.2,1,0.17,1,3.12,1,2.67728507717779,1,0.20000000000000023
1,1.2,1,0.17,1,0.52,1,4.7021784538782505,1,0.04000000000000001
1,0.2,1,0.17,1,0.52,1,4.964920256323067,1,0.04000000000000001
1,0.2,1,0.17,1,0.52,1,5.653189395486183,1,0.24000000000000002
1,0.2,1,0.17000000000000004,1,0.52,1,5.5142742996098235,1,0.40000000000000024
1,1.2,1,1.02,1,0.52,1,2.5142742996098235,1,0.24000000000000002
1,0.2,1,0.17,1,2.8044866222346463,1,3.6,1,0.04000000000000001
1,0.2,1,1.02,1,4.215707021857235,1,0.6000000000000001,1,0.04000000000000001
1,0.2,1,0.17,1,4.98242179429847,1,0.6000000000000001,1,0.04000000000000001
1,0.2,1,0.17,1,5.200000000000002,1,0.6000000000000001,1,0.24000000000000002
1,1.2,1,1.02,1,2.600000000000002,1,1.1284204878828492,1,0.40000000000000024
1,2.000000000000001,1,0.17000000000000004,1,0.52,1,2.472386832329654,1,0.40000000000000024
1,1.0000000000000009,1,1.02,1,3.0694106228031677,1,0.6000000000000001,1,0.24000000000000002
1,0.2,1,0.17,1,4.906564761378996,1,0.6000000000000001,1,0.04000000000000001
1,0.2,1,0.17,1,5.200000000000001,1,0.6000000000000001,1,0.04000000000000001
