min,mean,max,price
94.81933048,111.550999,128.2826675,1.5
96.34108511,105.7795766,115.2180681,1.5
92.02414619,96.78175663,101.5393671,1.5
84.83406498,87.71069199,90.58731899,1.5
74.97497511,82.91827393,90.86157275,1.5
79.34181935,97.4010704,115.4603214,1.5
84.06903523,100.5909343,117.1128334,1.5
26.16556003,66.8447402,107.5239204,1.5
66.48660143,92.90364028,119.3206791,1.5
32.34617736,69.53224799,106.7183186,1.5
47.67108664,64.89429955,82.11751246,1.5
60.55945317,72.91659817,85.27374317,1.5
57.38859176,73.8349271,90.28126243,1.5
35.8469137,57.44944694,79.05198018,1.5
45.76843226,56.33590506,66.90337786,1.5
35.84170656,58.35077007,80.85983359,1.5
35.80700972,55.84258033,75.87815094,1.5
38.40609658,50.87038726,63.33467794,1.5
34.19224377,40.80532163,47.4183995,1.5
25.61190707,36.53620182,47.46049657,1.5
9.451631261,26.53429262,43.61695397,1.5
2.520425135,14.66290455,26.80538397,1.5
7.574844826,15.97236537,24.36988592,1.5
13.22395452,17.69311877,22.16228301,
10.63245752,13.96323324,17.29400895,
9.766583585,13.56135289,17.35612219,
10.16923289,13.4743894,16.77954592,
7.317164397,12.02678949,16.73641459,
2.487165124,7.575677832,12.66419054,
-0.350840442,4.936337291,10.22351502,
1.017895482,5.523172473,10.02844946,
4.86025993,8.566041336,12.27182274,
8.891455601,11.67343999,14.45542437,
12.49218711,15.45739321,18.42259931,
8.77680094,12.14477763,15.51275432,
6.638726949,10.67826863,14.7178103,
8.961593445,12.45800224,15.95441103,
10.03630318,12.29113252,14.54596185,
11.94151518,15.6031567,19.26479822,
8.51463544,11.97123036,15.42782527,
8.20563736,16.64763968,25.08964199,
7.140687629,13.37011515,19.59954268,
3.520332225,7.437145233,11.35395824,
2.21314759,4.677647044,7.142146497,
4.323269699,7.211541722,10.09981374,
2.485464736,6.196639334,9.907813933,
4.000335326,6.359100811,8.717866297,
1.950309095,4.509424905,7.068540716,
1.214732851,3.206941186,5.199149521,
0.606840475,3.866436254,7.126032033,
3.157355774,5.882367559,8.607379344,
3.406561442,6.412315544,9.418069646,
1.06130007,5.292200129,9.523100187,
1.456801794,4.145711422,6.834621049,
1.541963386,3.854297165,6.166630944,
2.74573377,5.038836558,7.331939346,
2.192003887,4.547429887,6.902855887,
5.7903444,8.152274913,10.51420543,
12.09276962,15.88647389,19.68017815,
0.297965388,11.61738397,22.93680255,
11.8454097,18.64522734,25.44504498,
-3.448627065,10.98970707,25.4280412,
-0.833282304,10.5471491,21.9275805,
-3.864407778,4.793127238,13.45066225,
4.647580987,12.26980738,19.89203376,
6.979705371,11.03597143,15.09223749,
7.894632909,10.85329023,13.81194755,
5.553997783,7.838791137,10.12358449,
0.864362805,5.232886887,9.601410968,
3.192016361,5.828028441,8.464040522,
3.190966062,6.238926347,9.286886633,
3.609753286,7.243134535,10.87651578,
0.042419268,8.060347494,16.07827572,
1.058579064,11.88885969,22.71914032,
-12.22001813,20.72655261,53.67312334,
-15.310688,21.30201238,57.91471275,
-13.71576099,45.44729719,104.6103554,
-5.181274126,49.357062,103.8953981,
28.4571555,73.61289235,118.7686292,
18.37073865,55.23741491,92.10409117,
52.81558816,80.0564245,107.2972608,
57.72284154,71.64720591,85.57157028,
56.82817132,122.6999145,188.5716577,
89.77612423,125.2721892,160.7682541,
14.96903256,86.74057754,158.5121225,
84.45841708,124.786093,165.1137689,
56.08972805,97.88064313,139.6715582,
51.89248572,71.32451524,90.75654475,
59.01091917,94.33267261,129.6544261,
83.48737693,107.6836311,131.8798852,
85.47887504,106.0627832,126.6466914,
42.75401998,78.5659454,114.3778708,
63.0045144,98.6572445,134.3099746,
80.59101371,97.86058305,115.1301524,
88.86476561,98.06091914,107.2570727,
73.80035335,88.69639121,103.5924291,
