gen39 state,gen39 power,gen39 upperbound,gen39 lowerbound,gen55 state,gen55 power,gen55 upperbound,gen55 lowerbound,gen58 state,gen58 power,gen58 upperbound,gen58 lowerbound,gen57 state,gen57 power,gen57 upperbound,gen57 lowerbound,gen52 state,gen52 power,gen52 upperbound,gen52 lowerbound,gen26 state,gen26 power,gen26 upperbound,gen26 lowerbound,gen45 state,gen45 power,gen45 upperbound,gen45 lowerbound,gen30 state,gen30 power,gen30 upperbound,gen30 lowerbound,gen54 state,gen54 power,gen54 upperbound,gen54 lowerbound,gen60 state,gen60 power,gen60 upperbound,gen60 lowerbound,gen34 state,gen34 power,gen34 upperbound,gen34 lowerbound,gen27 state,gen27 power,gen27 upperbound,gen27 lowerbound,gen41 state,gen41 power,gen41 upperbound,gen41 lowerbound,hydro4power,hydro4 upperbound,hydro4 lowerbound,hydro2power,hydro2 upperbound,hydro2 lowerbound,hydro3power,hydro3 upperbound,hydro3 lowerbound,hydro5power,hydro5 upperbound,hydro5 lowerbound,hydro6power,hydro6 upperbound,hydro6 lowerbound,hydro1power,hydro1 upperbound,hydro1 lowerbound
1.0,4.216486526767087,4.710184863223616,3.979734757065131,1.0,0.7633083387878241,1.2995352278552295,0.5061621108712531,1.0,2.875942588859862,4.490733033331971,2.1015739771069186,1.0,0.9193479795888131,1.3759370970279168,0.7003918405906007,1.0,3.132041688358749,5.368156708278556,2.0597184716696173,1.0,1.6342162275272953,2.7492302796131245,1.099514101592316,1.0,1.6342162275272953,2.8742744453404367,1.0395494929624212,1.0,4.597978665310264,5.870116209000286,3.9879283723831955,1.0,4.527477541334333,4.688489050326051,4.450264885586347,1.0,4.621982033067469,7.8654461757052045,3.066587130897415,1.0,1.9054955082668672,3.4964964274365165,1.1425351022943029,1.0,3.3109910165337335,5.548065845105439,2.2382075260698437,1.0,3.826238770667167,5.124389720930008,3.203713815406222,3.9983416666666667,4.583204120517718,3.717872378527477,3.9983416666666667,4.583204120517718,3.717872378527477,3.9983416666666667,4.583204120517718,3.717872378527477,3.9983416666666667,4.583204120517718,3.717872378527477,3.9983416666666667,4.583204120517718,3.717872378527477,3.9983416666666667,4.583204120517718,3.717872378527477
1.0,3.719095420789141,3.8763570318797336,3.5377719238486236,1.0,0.7019634357172108,0.8727720009031733,0.5050202266776597,1.0,2.6023774808182,3.1167493717466535,2.009303879802337,1.0,0.8447393136921211,0.9901802336074494,0.6770451382706232,1.0,2.825317173573123,3.5376044645136377,2.004046034838437,1.0,1.4949467179370317,1.850120906852101,1.085428937275397,1.0,1.4949467179370317,1.8899522076843,1.0395032297584903,1.0,3.8104427490869215,4.215666718617425,3.3432172978796224,1.0,3.698492365533408,3.7497806268832505,3.6393567199333177,1.0,3.9587938924267285,4.991960016191232,2.76754770600974,1.0,1.7396984731066822,2.2464924995784776,1.1553621912184404,1.0,2.979396946213364,3.6919899725469123,2.157773292899825,1.0,3.4117461827667044,3.8252564071324153,2.934966634454331,1.4380944000661096,1.6243952339298913,1.223288520583827,3.522441730320384,3.7087425641841656,3.307635850838101,3.522441730320384,3.7087425641841656,3.307635850838101,3.522441730320384,3.7087425641841656,3.307635850838101,3.522441730320384,3.7087425641841656,3.307635850838101,3.522441730320384,3.7087425641841656,3.307635850838101
1.0,3.719095420789141,4.004400638723985,3.320355598133215,1.0,0.7335262170829354,1.0434084227755003,0.3004378332234473,1.0,2.6023774808182,3.5355549004261024,1.2981777136553483,1.0,0.8687682341022526,1.132628263675416,0.5,1.0,2.9168548602444813,4.209091912661149,1.1108368110838374,1.0,1.551598069055678,2.195957799764982,0.6510471201125538,1.0,1.5685439740039997,2.2851659554034134,0.5670000000000001,1.0,3.8104427490869215,4.545603174683243,2.782989624157122,1.0,3.698492365533408,3.7915399216435035,3.5684499979578526,1.0,4.011612466812723,5.885990352549412,1.3920000000000001,1.0,1.8349859469011616,2.7544155468390614,0.55,1.0,3.1067932470970785,4.399584967002747,1.3,1.0,3.4117461827667044,4.161939595277171,2.363283100221955,-1.4416250090200693,-1.1036366109721165,-1.9139943364123888,-3.5259723392743467,-3.187983941226394,-3.9983416666666662,-3.5259723392743467,-3.187983941226394,-3.9983416666666662,-3.5259723392743467,-3.187983941226394,-3.9983416666666662,-3.5259723392743467,-3.187983941226394,-3.9983416666666662,-3.5259723392743467,-3.187983941226394,-3.9983416666666662
1.0,2.635954962602072,3.0858262926890925,2.3106898270950285,1.0,0.5368133311750808,1.0254378332234473,0.18352894908280382,1.0,2.006650229351466,3.4780911304500703,0.9427717554912505,1.0,0.800816328895911,1.2168727309487757,0.5,1.0,2.0732280853605696,4.110836811083837,0.6000000000000001,1.0,1.1350160387079735,2.151047120112554,0.40040712884811835,1.0,1.383992228794212,2.513966949464672,0.5670000000000001,1.0,2.9111271719524336,4.070333445445428,2.073,1.0,2.5050848192399737,2.651802878347308,2.3990050000000003,1.0,3.528903704070295,6.484436304019562,1.3920000000000001,1.0,1.598205131254505,3.0479683709156205,0.55,1.0,2.7738604397117346,4.812343769141304,1.3,1.0,2.509129135180097,3.6920395311115106,1.653863452543916,-3.6130145321451295,-3.080071982813493,-3.9983416666666667,-3.6130145321451295,-3.080071982813493,-3.9983416666666667,-3.6130145321451295,-3.080071982813493,-3.9983416666666667,-3.6130145321451295,-3.080071982813493,-3.9983416666666667,-3.6130145321451295,-3.080071982813493,-3.9983416666666667,-3.6130145321451295,-3.080071982813493,-3.9983416666666667
1.0,2.7123116920829955,2.797387645623807,2.57911196684233,1.0,0.5777934425101193,0.6701980761353116,0.43311952117774655,1.0,2.0486464305281773,2.326913191194388,1.6129762496871372,1.0,0.6937217543861992,0.7724029077830159,0.570534089977041,1.0,2.2044672086862387,2.5898029562442195,1.6011637655399005,1.0,1.2130472740684501,1.4051906877438143,0.9122166768999487,1.0,1.2130472740684501,1.4267387685218889,0.8784797827524577,1.0,2.4162224878537053,2.635442012353813,2.073,1.0,2.4424458770995936,2.4701919856986887,2.3990050000000003,1.0,2.6164155888275786,3.1753415246346015,1.7413295277155665,1.0,1.4041038972068947,1.6782711574293399,0.9748521261515481,1.0,2.3082077944137884,2.693708939807345,1.7046453950602367,1.0,2.5727597430172366,2.7964619955429475,2.2225188425981917,-3.8405458784213806,-3.739760181413106,-3.9983416666666605,-3.8405458784213806,-3.739760181413106,-3.9983416666666605,-3.8405458784213806,-3.739760181413106,-3.9983416666666605,-3.8405458784213806,-3.739760181413106,-3.9983416666666605,-3.8405458784213806,-3.739760181413106,-3.9983416666666605,-3.8405458784213806,-3.739760181413106,-3.9983416666666605
1.0,2.3801436946189454,2.586818107008493,2.217296288598905,1.0,0.5368260561562198,0.7613039792558032,0.35995052007567374,1.0,1.865954032087373,2.5419455062310474,1.3333121013171971,1.0,0.650606854229261,0.8417464238447601,0.5,1.0,1.9996302772956893,2.9357236842420984,1.2620431645458114,1.0,1.1200402348343201,1.5868128710860894,0.7522505692637974,1.0,1.1200402348343201,1.6391594713600992,0.7110044954512198,1.0,2.4926171706340465,3.0251656114651158,2.073,1.0,2.452114975550793,2.5195184009859672,2.3990050000000003,1.0,2.461863281165977,3.8196581050204133,1.3920000000000001,1.0,1.2933812314962672,1.9594138181982685,0.768586324302795,1.0,2.086762462992534,3.023257669731427,1.3488587553957716,1.0,2.2959530787406677,2.839391379068279,1.8677553327444807,-3.8054235900700206,-3.560585608953959,-3.9983416666666693,-3.8054235900700206,-3.560585608953959,-3.9983416666666693,-3.8054235900700206,-3.560585608953959,-3.9983416666666693,-3.8054235900700206,-3.560585608953959,-3.9983416666666693,-3.8054235900700206,-3.560585608953959,-3.9983416666666693,-3.8054235900700206,-3.560585608953959,-3.9983416666666693
1.0,2.4641552585077866,2.642471019717063,2.3124794423466417,1.0,0.547187482369177,0.7408638609270292,0.3824458880777977,1.0,1.9121603921846504,2.4953962794395865,1.4160585410979172,1.0,0.656498289349918,0.8214108078331442,0.5162233037485218,1.0,2.051437408264632,2.8590855660250445,1.364449939133479,1.0,1.1435634727090824,1.5462883044023954,0.8010047604494661,1.0,1.1435634727090824,1.5914522110837137,0.7625882325976456,1.0,2.4638307684269622,2.923306034424661,2.073,1.0,2.448471547148892,2.506626269717701,2.3990050000000003,1.0,2.3884689663630336,3.559955144948459,1.3920000000000001,1.0,1.3213850860978773,1.896028586059062,0.8325919403477566,1.0,2.1427701721957537,2.950764997136792,1.4554878271254184,1.0,2.365962715244693,2.8348335980637325,1.9671400125094582,-3.818658075535751,-3.6074153267557816,-3.9983416666666667,-3.818658075535751,-3.6074153267557816,-3.9983416666666667,-3.818658075535751,-3.6074153267557816,-3.9983416666666667,-3.818658075535751,-3.6074153267557816,-3.9983416666666667,-3.818658075535751,-3.6074153267557816,-3.9983416666666667,-3.818658075535751,-3.6074153267557816,-3.9983416666666667
1.0,2.9154538260848666,3.0422084033300156,2.8531507287948776,1.0,0.6028476390370168,0.7405212093371769,0.535177579058971,1.0,2.160374604128651,2.5749639697677025,1.956593390509453,1.0,0.7241930744864797,0.8414200454564844,0.6665730379080023,1.0,2.3297381910889743,2.903849532147582,2.047547870907621,1.0,1.2699270715548463,1.5562013495055151,1.1292159857824817,1.0,1.2699270715548463,1.5883058132910306,1.1134358256167198,1.0,2.5380102266833497,2.8646251748021965,2.377470675913067,1.0,2.419324119933681,2.460663019109099,2.3990050000000003,1.0,2.8872717672258825,3.7200149544131142,2.47795731928639,1.0,1.4718179418064707,1.8802994658752654,1.2710388876031622,1.0,2.4436358836129406,3.0179936507397045,2.1613244387540194,1.0,2.742044854516176,3.075338614592362,2.5782224978685577,-3.9245339592616233,-3.774373451092729,-3.998341666666674,-3.9245339592616233,-3.774373451092729,-3.998341666666674,-3.9245339592616233,-3.774373451092729,-3.998341666666674,-3.9245339592616233,-3.774373451092729,-3.998341666666674,-3.9245339592616233,-3.774373451092729,-3.998341666666674,-3.9245339592616233,-3.774373451092729,-3.998341666666674
1.0,3.4749458379399596,3.61845779997345,3.329715169774331,1.0,0.6790801334290394,0.8349546164129501,0.5213388901698722,1.0,2.6154876079352762,3.0848870930994923,2.1404665720505314,1.0,0.7648003573515344,0.8975251312633366,0.6304860651892916,1.0,2.8793212643780617,3.5293320708647586,2.2215258973346383,1.0,1.4828264434344671,1.8069471513514967,1.1548240503926834,1.0,1.3457273328574682,1.706196823501149,0.9809408423258396,1.0,2.9666426560683274,3.3364372074978026,2.592419427376224,1.0,2.8102817404151006,2.857085782193372,2.7629171711903835,1.0,3.323578159782479,4.2664128191741275,2.3694520673442243,1.0,1.5620563480830203,2.0245405143168433,1.094033449319451,1.0,2.6241126961660397,3.274402507082445,1.9660349833224924,1.0,3.3287108845328963,3.7060672095005107,2.9468353221405197,-3.826293355612137,-3.6562811192446425,-3.9983416666666667,-3.826293355612137,-3.6562811192446425,-3.9983416666666667,-3.826293355612137,-3.6562811192446425,-3.9983416666666667,-3.826293355612137,-3.6562811192446425,-3.9983416666666667,-3.826293355612137,-3.6562811192446425,-3.9983416666666667,-3.826293355612137,-3.6562811192446425,-3.9983416666666667
1.0,6.655266497362362,6.829715169774331,6.430975347118404,1.0,1.0568627222313467,1.2463388901698722,0.8132505063103842,1.0,4.069879173916785,4.640466572050531,3.336266804887681,1.0,1.3284814940913132,1.4898175965110485,1.1210493624087956,1.0,4.431393000826858,5.221525897334638,3.415507848173994,1.0,2.2608330102300673,2.6548240503926834,1.7542731014495598,1.0,2.397932120807066,2.836107609433815,1.8345636354298156,1.0,8.916610198643836,9.366120940800624,8.338667815870824,1.0,9.073405475705078,9.130299011519384,9.000256643943827,1.0,8.183371613113662,9.329452067344224,6.709839600531503,1.0,2.8146810951410153,3.3768624469102724,2.0918765000091115,1.0,5.1293621902820306,5.919834235887001,4.113040988789922,1.0,5.738132723527193,6.19683532214052,5.14837223959577,3.3861802251067274e-15,0.2066615807341429,-0.26570774665817676,3.3861802251067274e-15,0.2066615807341429,-0.26570774665817676,3.498831676853097,3.7054932575872366,3.233123930194917,3.3861802251067274e-15,0.2066615807341429,-0.26570774665817676,3.3861802251067274e-15,0.2066615807341429,-0.26570774665817676,3.998341668923472,4.2050032496576115,3.732633922265292
