"number","rateA"
"306",21.851864381570522
"407",35.568293220856006
"1",2422.09692356684
"54",32.544269214006654
"101",26.56485692915265
"371",70.22514892792759
"41",40.62392988618305
"65",9.16653943647978
"335",21.607738131670022
"362",27.941664265066322
"326",29.801155888408044
"299",63.45504764651978
"168",5.089438714916492
"159",3.148679985180597
"403",90.61309539087429
"228",12.241958269907425
"332",8.722398631583756
"190",6.611086768305906
"227",14.467668374768158
"270",14.512902654763792
"223",3.1865552556157146
"88",174.79640450688854
"297",22.534826993499554
"26",0.2309606881166362
"289",2.086045693570708
"250",3.5572070107105653
"77",73.76811042215151
"230",7.3599453196170845
"24",0.23754486798204338
"394",106.6036416363227
"258",55.61297797108244
"328",19.223709437333042
"204",14.261256320170622
"387",33.828103582953815
"23",4.442997756213031
"160",6.206327315016876
"149",7.735747757688247
"359",57.60170265814383
"59",50.86308999309516
"184",2.9616942180272474
"43",16.175733855038423
"122",8.988082789189171
"253",3.5262059470329166
"302",23.14738673990264
"175",10.709229948610181
"39",184.71909387390704
"143",11.98240832478223
"112",2.006272894040039
"372",28.36077905659828
"34",0.6688120609342534
"293",29.504700769798102
"137",31.211177301301145
"55",25.37959081563232
"323",260.6692465972687
"17",0.3942545199936481
"243",45.73804658522163
"318",23.152840889673936
"9",1.4045029785585512
"172",2.623835884610159
"333",10.56427480873233
"363",18.618797325843577
"12",2.221905253722295
"192",20.674130558676527
"20",0.3064493875086247
"292",14.21706415908234
"350",29.5684837591274
"252",3.00670452360943
"357",61.87102713388946
"341",21.200044959374367
"14",2.556434333878416
"167",2.6148041860084352
"127",18.496922140063802
"96",27.33186703221942
"123",8.270506273997569
"177",41.461342540473844
"254",12.972150092554855
"300",28.379408253647018
"257",37.91520972000341
"19",0.2809017813444512
"179",3.0392274353444453
"242",34.37330754591302
"396",34.95962609977727
"260",45.624408697368345
"239",114.27318462092559
"35",0.43217977831933385
"317",1847.1909387390706
"197",14.462166569233386
"131",24.489876862893112
"401",58.42966109447953
"276",13.008107926676864
"316",162.7725619385008
"365",13.488624043779607
"21",0.37460573243655476
"263",55.61297797108244
"83",13.575860471924173
"244",21.780312301366855
"45",58.812036666140465
"295",103.04809984573205
"139",10.285794214330306
"181",33.14461306332865
"386",57.511839763746195
"368",28.654004018980483
"85",8.297297601850843
"105",11.351835719846402
"30",0.2022495038531986
"3",2.5682317738261764
"309",18.417236590693705
"81",16.60274556883241
